transaction_id,customer_id,customer_age,income_band,tenure_months,merchant_type,channel,region,hour,day_of_week,week,avg_prev_amount,daily_txn_count,days_since_last_txn,amount,amount_ratio,is_foreign,card_present,high_risk_merchant,night_txn,weekend,risk_score,loss_amount,fraud
1,100223,43,3,46,travel,pos,Attica,0,4,4,143.74,2,12.0,201.27,1.4,0,1,1,1,0,35.44,0.0,0
2,101934,53,3,24,grocery,online,Central_Macedonia,3,5,12,39.29,4,11.0,85.71,2.18,0,0,0,1,1,31.24,0.0,0
3,101636,53,3,65,restaurant,mobile,Aegean,1,1,21,117.02,2,3.0,46.46,0.4,0,0,0,1,0,26.51,0.0,0
4,101097,49,4,46,grocery,pos,Attica,11,4,24,101.46,2,2.0,25.67,0.25,0,1,0,0,0,22.32,0.0,0
5,101082,41,2,38,grocery,mobile,Attica,1,2,52,50.25,3,3.0,42.76,0.85,0,0,0,1,0,28.46,0.0,0
6,102146,18,3,23,travel,online,Central_Macedonia,5,2,18,89.25,4,0.0,43.79,0.49,0,0,1,1,0,31.77,0.0,0
7,100214,67,2,29,restaurant,mobile,Attica,11,0,26,61.96,2,2.0,98.91,1.6,0,0,0,0,0,25.88,0.0,0
8,101743,49,3,25,fashion,pos,Crete,16,5,2,64.36,4,12.0,11.8,0.18,0,1,0,0,1,21.81,0.0,0
9,100503,31,2,13,utility,pos,Attica,0,3,5,65.31,3,0.0,64.13,0.98,0,1,0,1,0,28.86,0.0,0
10,100235,38,3,45,fashion,pos,Thessaly,17,6,26,39.35,4,1.0,35.54,0.9,0,1,0,0,1,24.64,0.0,0
11,101316,45,2,77,utility,online,Thessaly,12,4,19,37.75,1,0.0,29.67,0.79,0,0,0,0,0,24.36,0.0,0
12,102439,48,3,37,utility,mobile,Central_Macedonia,0,1,35,26.34,5,2.0,53.24,2.02,0,0,0,1,0,31.0,0.0,0
13,101839,25,2,71,grocery,pos,Thessaly,2,5,44,57.47,3,0.0,31.12,0.54,0,1,0,1,1,27.27,0.0,0
14,101902,30,1,67,restaurant,pos,Attica,22,0,3,25.93,2,1.0,46.39,1.79,1,1,0,0,0,31.93,0.0,0
15,101793,48,3,40,grocery,pos,Central_Macedonia,10,5,9,25.34,3,5.0,27.95,1.1,0,1,0,0,1,25.06,0.0,0
16,101965,35,2,31,grocery,online,,22,2,30,54.07,3,1.0,93.31,1.73,0,0,0,0,0,26.06,0.0,0
17,101283,21,3,26,grocery,mobile,Attica,12,0,6,43.82,4,3.0,27.63,0.63,0,0,0,0,0,23.93,0.0,0
18,100320,33,3,12,fashion,pos,Attica,3,3,17,103.74,1,1.0,75.62,0.73,0,1,0,1,0,28.05,0.0,0
19,102099,42,3,49,utility,online,Central_Macedonia,17,3,37,73.42,2,16.0,47.23,0.64,0,0,0,0,0,23.97,0.0,0
20,101125,22,3,56,gaming,pos,Central_Macedonia,11,1,3,92.44,4,1.0,23.01,0.25,1,1,1,0,0,30.94,0.0,0
21,101250,62,2,43,gaming,mobile,Crete,9,0,33,39.84,2,4.0,42.02,1.05,0,0,1,0,0,29.06,0.0,0
22,100926,56,3,36,fashion,online,Attica,5,4,6,56.85,1,0.0,165.82,2.92,0,0,0,1,0,32.18,0.0,0
23,100456,53,4,81,grocery,pos,Attica,10,3,40,91.15,2,12.0,39.42,0.43,0,1,0,0,0,23.23,0.0,0
24,102316,43,1,52,fashion,online,Aegean,23,2,38,11.33,2,1.0,40.64,3.59,0,0,0,1,0,32.87,0.0,0
25,101953,27,3,46,fashion,online,Attica,5,3,3,24.29,3,0.0,102.36,4.21,0,0,0,1,0,33.42,0.0,0
26,101609,32,1,18,fashion,mobile,Aegean,13,6,29,33.46,4,17.0,26.25,0.78,0,0,0,0,1,24.36,0.0,0
27,101006,58,2,40,grocery,online,Thessaly,0,6,25,19.29,2,7.0,17.81,0.92,0,0,0,1,1,28.69,0.0,0
28,102056,32,1,37,grocery,pos,Crete,16,1,50,23.98,4,0.0,13.09,0.55,0,1,0,0,0,23.65,0.0,0
29,101363,42,3,35,gaming,online,Attica,21,2,3,64.45,5,8.0,68.1,1.06,0,0,1,0,0,29.06,0.0,0
30,101108,39,1,50,grocery,online,Aegean,23,5,36,40.47,2,2.0,28.91,0.71,0,0,0,1,1,27.99,0.0,0
31,101126,40,3,11,electronics,pos,Aegean,19,0,29,67.24,5,22.0,41.22,0.61,0,1,1,0,0,27.59,0.0,0
32,100568,40,2,39,travel,mobile,Thessaly,16,6,51,25.14,2,3.0,149.26,5.94,0,0,1,0,1,34.64,0.0,0
33,100230,39,2,84,grocery,pos,Thessaly,13,2,39,61.88,3,0.0,33.22,0.54,0,1,0,0,0,23.62,0.0,0
34,101386,37,4,36,grocery,mobile,Central_Macedonia,20,3,15,41.03,1,3.0,47.98,1.17,0,0,0,0,0,25.19,0.0,0
35,102219,38,2,40,gaming,pos,Attica,0,6,6,53.35,4,0.0,47.58,0.89,0,1,1,1,1,33.8,0.0,0
36,100159,39,1,72,fashion,pos,Aegean,5,1,31,47.46,3,4.0,109.27,2.3,0,1,0,1,0,31.41,0.0,0
37,102145,31,2,18,gaming,pos,Attica,1,1,45,107.39,3,4.0,83.49,0.78,0,1,1,1,0,33.32,0.0,0
38,102069,25,2,21,fuel,online,Central_Macedonia,5,6,30,90.25,2,8.0,36.88,0.41,0,0,0,1,1,26.58,0.0,0
39,100691,38,3,21,fuel,mobile,Attica,5,5,31,68.22,2,1.0,65.85,0.97,0,0,0,1,1,28.81,0.0,0
40,101579,31,1,65,electronics,pos,Thessaly,10,2,28,29.86,1,3.0,85.32,2.86,0,1,1,0,0,32.11,0.0,0
